disease,symptoms,cures,doctor,risk level
migraine,"dizziness, joint pain, fatigue, runny nose, nausea, weight loss","exercise, surgery",endocrinologist,high (20%)
common cold,"nausea, shortness of breath, joint pain, chest pain","surgery, diet changes",cardiologist,high (15%)
migraine,"skin rash, chest pain, fever, joint pain","diet changes, rest, antibiotics",pulmonologist,high (15%)
hypertension,"nausea, cough, blurred vision, vomiting","exercise, medications, diet changes",pulmonologist,high (20%)
diabetes,"headache, fatigue, cough, sore throat","surgery, diet changes, hydration",neurologist,high (20%)
asthma,"cough, blurred vision, vomiting, chest pain, nausea","rest, medications",neurologist,high (15%)
common cold,"fever, nausea, blurred vision, runny nose, skin rash","rest, hydration",endocrinologist,low (0.1%)
hypertension,"sore throat, headache, vomiting","therapy, rest, hydration",neurologist,moderate (1%)
obesity,"shortness of breath, fatigue, chest pain, cough, headache","antibiotics, therapy",cardiologist,high (20%)
diabetes,"shortness of breath, cough, blurred vision, chest pain","medications, exercise",neurologist,high (20%)
asthma,"nausea, joint pain, blurred vision, fatigue","rest, exercise, surgery",dermatologist,high (20%)
asthma,"sore throat, dizziness, headache, runny nose, skin rash, joint pain","medications, rest, antibiotics",endocrinologist,high (20%)
diabetes,"blurred vision, joint pain, weight loss",antibiotics,pulmonologist,low (0.5%)
diabetes,"shortness of breath, skin rash, chest pain, headache, fatigue","therapy, surgery, exercise",pulmonologist,high (20%)
diabetes,"sore throat, fever, joint pain, dizziness, fatigue",antibiotics,neurologist,low (0.5%)
arthritis,"fatigue, blurred vision, cough, dizziness","rest, antibiotics, surgery",cardiologist,moderate (1%)
common cold,"shortness of breath, fever, nausea, runny nose","medications, antibiotics",pulmonologist,moderate (1%)
asthma,"headache, runny nose, sore throat, vomiting, fever, joint pain","medications, therapy",endocrinologist,high (20%)
hypertension,"shortness of breath, joint pain, headache","diet changes, surgery, hydration",cardiologist,high (20%)
asthma,"sore throat, nausea, vomiting, dizziness, fatigue",therapy,family doctor,high (20%)
diabetes,"sore throat, fatigue, joint pain, skin rash, chest pain, blurred vision",hydration,cardiologist,high (15%)
obesity,"joint pain, weight loss, headache, chest pain",hydration,family doctor,high (20%)
arthritis,"weight loss, skin rash, dizziness, cough","diet changes, surgery",cardiologist,moderate (1%)
asthma,"vomiting, cough, nausea, runny nose","therapy, surgery, rest",cardiologist,high (20%)
migraine,"skin rash, fever, runny nose, blurred vision, joint pain, chest pain","hydration, exercise, antibiotics",pulmonologist,low (0.1%)
obesity,"headache, fatigue, dizziness, skin rash","rest, diet changes",endocrinologist,low (0.1%)
allergy,"weight loss, sore throat, fever, runny nose, headache","rest, diet changes",neurologist,moderate (1%)
diabetes,"skin rash, fever, joint pain, chest pain, vomiting","exercise, surgery, rest",family doctor,high (15%)
arthritis,"runny nose, fever, vomiting, dizziness, nausea, chest pain","surgery, rest",family doctor,low (0.1%)
allergy,"sore throat, chest pain, weight loss, cough, vomiting, nausea","exercise, medications, therapy",family doctor,moderate (1%)
arthritis,"blurred vision, chest pain, sore throat, headache, fever, dizziness","hydration, diet changes, therapy",dermatologist,moderate (1%)
hypertension,"nausea, shortness of breath, cough, runny nose","surgery, therapy, medications",neurologist,high (15%)
common cold,"nausea, headache, vomiting, fever",therapy,neurologist,high (20%)
arthritis,"blurred vision, sore throat, cough, runny nose","rest, medications, therapy",pulmonologist,high (20%)
diabetes,"weight loss, chest pain, fatigue, sore throat","antibiotics, exercise, diet changes",neurologist,moderate (1%)
obesity,"chest pain, fatigue, weight loss, runny nose, fever","therapy, rest",endocrinologist,moderate (1%)
diabetes,"weight loss, nausea, headache, fever, shortness of breath",rest,cardiologist,low (0.5%)
obesity,"cough, fatigue, blurred vision, nausea, dizziness, fever","antibiotics, therapy",dermatologist,low (0.5%)
migraine,"sore throat, vomiting, headache",therapy,cardiologist,high (20%)
obesity,"skin rash, chest pain, runny nose, fatigue, nausea","diet changes, medications",family doctor,high (20%)
arthritis,"fatigue, headache, vomiting","therapy, rest, medications",family doctor,low (0.5%)
common cold,"chest pain, headache, fever","therapy, surgery, exercise",pulmonologist,low (0.5%)
obesity,"vomiting, headache, fever","hydration, antibiotics",family doctor,moderate (1%)
allergy,"vomiting, joint pain, skin rash",diet changes,cardiologist,high (15%)
asthma,"dizziness, fatigue, joint pain, shortness of breath","exercise, diet changes",endocrinologist,moderate (1%)
obesity,"skin rash, blurred vision, vomiting, nausea, runny nose, fatigue",rest,dermatologist,high (15%)
allergy,"dizziness, skin rash, sore throat, vomiting, nausea, runny nose",antibiotics,dermatologist,high (20%)
allergy,"runny nose, fatigue, blurred vision, cough, joint pain, headache",medications,pulmonologist,high (20%)
hypertension,"blurred vision, weight loss, headache","rest, hydration, surgery",neurologist,moderate (1%)
obesity,"sore throat, vomiting, shortness of breath, blurred vision, fatigue, runny nose","diet changes, medications",pulmonologist,low (0.1%)
hypertension,"blurred vision, sore throat, joint pain, dizziness, weight loss",hydration,family doctor,high (20%)
diabetes,"cough, weight loss, chest pain","hydration, surgery",pulmonologist,moderate (1%)
arthritis,"blurred vision, dizziness, sore throat, headache, runny nose, nausea","medications, exercise",endocrinologist,low (0.5%)
obesity,"weight loss, fever, chest pain","antibiotics, exercise",endocrinologist,high (15%)
asthma,"joint pain, headache, vomiting","hydration, surgery",dermatologist,high (15%)
hypertension,"dizziness, fever, shortness of breath, runny nose","surgery, diet changes",cardiologist,low (0.5%)
asthma,"headache, cough, sore throat, nausea, vomiting, blurred vision","surgery, rest",dermatologist,low (0.5%)
allergy,"fatigue, dizziness, runny nose, joint pain, cough","hydration, diet changes",family doctor,high (20%)
arthritis,"sore throat, dizziness, vomiting","hydration, exercise",neurologist,high (20%)
allergy,"fatigue, shortness of breath, blurred vision, runny nose, joint pain, vomiting",antibiotics,pulmonologist,low (0.1%)
common cold,"weight loss, nausea, fatigue","exercise, medications, antibiotics",pulmonologist,low (0.1%)
migraine,"runny nose, dizziness, nausea","medications, hydration, surgery",cardiologist,low (0.1%)
asthma,"joint pain, headache, fatigue",antibiotics,endocrinologist,high (15%)
migraine,"headache, skin rash, vomiting, dizziness, fatigue, runny nose","surgery, hydration, medications",cardiologist,moderate (1%)
hypertension,"shortness of breath, joint pain, blurred vision, nausea",medications,family doctor,high (20%)
asthma,"fatigue, joint pain, dizziness, cough, nausea",therapy,cardiologist,low (0.1%)
obesity,"dizziness, headache, joint pain",antibiotics,endocrinologist,high (15%)
hypertension,"shortness of breath, dizziness, weight loss, joint pain, vomiting",exercise,dermatologist,high (15%)
diabetes,"joint pain, nausea, vomiting, skin rash, fever, headache","antibiotics, diet changes",endocrinologist,high (20%)
common cold,"cough, chest pain, runny nose, fatigue, skin rash, weight loss",exercise,neurologist,high (20%)
diabetes,"cough, headache, vomiting, blurred vision, fever, dizziness","rest, therapy",endocrinologist,moderate (1%)
common cold,"nausea, fever, skin rash",surgery,cardiologist,low (0.1%)
arthritis,"shortness of breath, fever, blurred vision, skin rash",exercise,cardiologist,high (15%)
migraine,"blurred vision, headache, skin rash, weight loss, cough, joint pain","therapy, hydration",neurologist,moderate (1%)
migraine,"chest pain, cough, nausea, sore throat, vomiting, fever","hydration, surgery, rest",pulmonologist,high (15%)
asthma,"chest pain, blurred vision, fatigue",therapy,pulmonologist,high (20%)
asthma,"runny nose, shortness of breath, headache, weight loss","diet changes, surgery, therapy",family doctor,high (20%)
asthma,"weight loss, skin rash, cough, fatigue, shortness of breath","exercise, rest, antibiotics",pulmonologist,high (20%)
obesity,"shortness of breath, dizziness, headache, blurred vision, sore throat, weight loss",hydration,neurologist,high (15%)
diabetes,"sore throat, cough, blurred vision, weight loss, dizziness, shortness of breath","exercise, hydration, diet changes",pulmonologist,high (15%)
diabetes,"dizziness, nausea, joint pain, runny nose","surgery, medications",neurologist,low (0.5%)
migraine,"fatigue, fever, weight loss, headache, cough","medications, surgery",endocrinologist,low (0.5%)
hypertension,"headache, blurred vision, nausea, weight loss",rest,neurologist,moderate (1%)
diabetes,"fatigue, sore throat, headache, weight loss, chest pain, joint pain","medications, surgery, exercise",pulmonologist,low (0.5%)
hypertension,"fever, fatigue, weight loss",surgery,dermatologist,low (0.1%)
obesity,"dizziness, vomiting, shortness of breath, chest pain","rest, hydration",endocrinologist,moderate (1%)
obesity,"joint pain, blurred vision, cough, vomiting, runny nose","rest, hydration",dermatologist,low (0.5%)
obesity,"shortness of breath, chest pain, vomiting, blurred vision","diet changes, therapy",neurologist,moderate (1%)
hypertension,"fatigue, sore throat, headache","diet changes, rest, exercise",endocrinologist,low (0.1%)
asthma,"shortness of breath, skin rash, cough","medications, exercise",dermatologist,moderate (1%)
arthritis,"sore throat, chest pain, fatigue, weight loss, vomiting",therapy,endocrinologist,low (0.1%)
allergy,"nausea, sore throat, skin rash","medications, hydration",cardiologist,low (0.1%)
asthma,"cough, headache, chest pain, runny nose, fatigue, nausea","antibiotics, rest, therapy",family doctor,high (15%)
diabetes,"weight loss, fatigue, sore throat",medications,family doctor,high (20%)
common cold,"vomiting, weight loss, fatigue, nausea, chest pain","antibiotics, hydration, medications",dermatologist,low (0.1%)
diabetes,"shortness of breath, runny nose, blurred vision, chest pain","antibiotics, rest, surgery",pulmonologist,low (0.5%)
migraine,"blurred vision, vomiting, shortness of breath","exercise, hydration",dermatologist,moderate (1%)
asthma,"dizziness, skin rash, nausea",rest,family doctor,low (0.5%)
common cold,"sore throat, joint pain, skin rash, runny nose","diet changes, surgery",pulmonologist,low (0.1%)
arthritis,"chest pain, sore throat, joint pain, nausea",antibiotics,pulmonologist,low (0.5%)
asthma,"weight loss, nausea, vomiting","rest, surgery, medications",pulmonologist,moderate (1%)
migraine,"vomiting, runny nose, cough, blurred vision, weight loss, fatigue",rest,pulmonologist,high (15%)
diabetes,"weight loss, chest pain, fever, fatigue, skin rash, cough","surgery, antibiotics",pulmonologist,moderate (1%)
common cold,"weight loss, skin rash, shortness of breath, joint pain","diet changes, exercise",pulmonologist,high (20%)
allergy,"shortness of breath, runny nose, dizziness, chest pain, skin rash, headache","diet changes, antibiotics, therapy",pulmonologist,high (20%)
asthma,"skin rash, blurred vision, vomiting, sore throat, runny nose","diet changes, hydration, exercise",endocrinologist,low (0.1%)
obesity,"runny nose, nausea, fatigue",exercise,neurologist,high (20%)
arthritis,"vomiting, dizziness, joint pain",surgery,pulmonologist,high (20%)
arthritis,"joint pain, fever, runny nose, cough, blurred vision","surgery, rest, therapy",dermatologist,moderate (1%)
common cold,"chest pain, skin rash, vomiting, shortness of breath, blurred vision","medications, therapy",family doctor,high (15%)
arthritis,"shortness of breath, vomiting, runny nose",therapy,endocrinologist,moderate (1%)
common cold,"dizziness, shortness of breath, chest pain, nausea, fatigue","medications, antibiotics",cardiologist,moderate (1%)
common cold,"chest pain, headache, sore throat, fatigue, weight loss, nausea","therapy, medications, antibiotics",family doctor,moderate (1%)
obesity,"runny nose, joint pain, nausea",therapy,neurologist,high (20%)
migraine,"sore throat, nausea, headache",antibiotics,family doctor,low (0.1%)
common cold,"fatigue, skin rash, sore throat, fever","medications, antibiotics, hydration",pulmonologist,high (20%)
migraine,"runny nose, fatigue, chest pain","medications, surgery, antibiotics",endocrinologist,high (15%)
arthritis,"sore throat, fever, vomiting",medications,cardiologist,low (0.5%)
common cold,"joint pain, skin rash, blurred vision, shortness of breath, fever, weight loss",therapy,dermatologist,low (0.5%)
allergy,"sore throat, headache, chest pain",surgery,neurologist,low (0.1%)
arthritis,"cough, runny nose, joint pain, dizziness","rest, therapy",family doctor,low (0.5%)
obesity,"vomiting, fever, sore throat",therapy,endocrinologist,moderate (1%)
arthritis,"vomiting, cough, nausea, weight loss","diet changes, medications, hydration",dermatologist,low (0.5%)
migraine,"blurred vision, sore throat, dizziness, fatigue","surgery, hydration",pulmonologist,low (0.5%)
diabetes,"headache, fever, runny nose, chest pain, vomiting, dizziness","exercise, medications, therapy",endocrinologist,moderate (1%)
asthma,"weight loss, vomiting, joint pain","medications, surgery, rest",cardiologist,moderate (1%)
diabetes,"headache, skin rash, fever",exercise,dermatologist,low (0.1%)
hypertension,"fatigue, blurred vision, chest pain, headache, skin rash, sore throat","medications, diet changes",pulmonologist,low (0.5%)
diabetes,"dizziness, joint pain, fever, runny nose","exercise, medications",family doctor,low (0.1%)
asthma,"runny nose, joint pain, headache","exercise, rest",neurologist,low (0.1%)
allergy,"vomiting, fatigue, runny nose, sore throat",rest,cardiologist,high (20%)
asthma,"fatigue, skin rash, dizziness, headache, vomiting, chest pain",hydration,dermatologist,high (15%)
hypertension,"nausea, fever, dizziness, headache, weight loss","diet changes, exercise, therapy",family doctor,low (0.1%)
hypertension,"skin rash, runny nose, cough, nausea, fever","rest, hydration, medications",endocrinologist,low (0.5%)
obesity,"sore throat, fever, chest pain, joint pain, vomiting, runny nose","antibiotics, medications, surgery",endocrinologist,low (0.5%)
hypertension,"vomiting, fatigue, skin rash",rest,family doctor,moderate (1%)
diabetes,"shortness of breath, headache, dizziness, blurred vision, nausea",medications,endocrinologist,high (15%)
allergy,"blurred vision, joint pain, chest pain, skin rash","exercise, medications",family doctor,low (0.5%)
allergy,"joint pain, cough, chest pain, skin rash, vomiting",surgery,family doctor,high (15%)
arthritis,"cough, joint pain, vomiting, fever, shortness of breath, nausea","diet changes, surgery",pulmonologist,high (15%)
asthma,"skin rash, vomiting, fatigue, sore throat",surgery,neurologist,high (15%)
asthma,"nausea, skin rash, fever",medications,neurologist,high (15%)
obesity,"chest pain, sore throat, nausea, dizziness, shortness of breath","diet changes, antibiotics, surgery",neurologist,low (0.1%)
arthritis,"skin rash, blurred vision, dizziness, vomiting","rest, hydration, exercise",family doctor,moderate (1%)
hypertension,"nausea, joint pain, chest pain, headache, blurred vision, vomiting",rest,family doctor,high (15%)
hypertension,"joint pain, chest pain, sore throat, dizziness","therapy, surgery, rest",neurologist,moderate (1%)
hypertension,"shortness of breath, fever, blurred vision",exercise,family doctor,high (20%)
hypertension,"fatigue, blurred vision, dizziness","medications, diet changes, exercise",cardiologist,high (15%)
common cold,"headache, skin rash, sore throat, dizziness, fever",antibiotics,family doctor,moderate (1%)
asthma,"headache, fever, blurred vision, dizziness","hydration, rest, surgery",neurologist,high (20%)
common cold,"chest pain, dizziness, vomiting, sore throat, skin rash, fever","exercise, antibiotics, therapy",neurologist,low (0.5%)
obesity,"cough, fever, chest pain, joint pain, sore throat","medications, surgery, hydration",neurologist,high (20%)
arthritis,"weight loss, blurred vision, fever, skin rash","antibiotics, surgery",endocrinologist,low (0.5%)
arthritis,"fever, nausea, sore throat","antibiotics, medications",pulmonologist,low (0.1%)
common cold,"fatigue, nausea, runny nose",rest,neurologist,low (0.5%)
arthritis,"cough, fatigue, dizziness, weight loss, nausea","antibiotics, surgery, diet changes",neurologist,low (0.5%)
diabetes,"nausea, skin rash, cough, weight loss, fever, runny nose","hydration, rest, exercise",neurologist,low (0.1%)
asthma,"skin rash, dizziness, cough, vomiting, joint pain","exercise, diet changes, surgery",cardiologist,high (15%)
migraine,"skin rash, weight loss, joint pain",hydration,dermatologist,moderate (1%)
hypertension,"fever, sore throat, vomiting","antibiotics, hydration",cardiologist,low (0.1%)
migraine,"shortness of breath, headache, dizziness, blurred vision","surgery, medications, rest",family doctor,low (0.1%)
arthritis,"nausea, headache, joint pain, vomiting","surgery, therapy",pulmonologist,low (0.5%)
obesity,"shortness of breath, sore throat, nausea, runny nose",rest,dermatologist,high (15%)
allergy,"joint pain, runny nose, blurred vision, weight loss","diet changes, hydration",family doctor,moderate (1%)
arthritis,"blurred vision, cough, fever, fatigue","exercise, antibiotics",cardiologist,moderate (1%)
hypertension,"chest pain, weight loss, skin rash","diet changes, antibiotics, surgery",family doctor,low (0.5%)
obesity,"weight loss, nausea, vomiting, blurred vision, shortness of breath","diet changes, therapy",pulmonologist,moderate (1%)
diabetes,"nausea, chest pain, blurred vision, cough, headache, weight loss","hydration, exercise, therapy",cardiologist,low (0.1%)
allergy,"headache, shortness of breath, blurred vision",medications,dermatologist,low (0.1%)
diabetes,"nausea, cough, vomiting","antibiotics, therapy, medications",family doctor,low (0.1%)
hypertension,"vomiting, skin rash, sore throat, headache","antibiotics, rest",neurologist,moderate (1%)
hypertension,"headache, skin rash, chest pain, sore throat, runny nose, vomiting","rest, hydration",dermatologist,moderate (1%)
arthritis,"skin rash, fever, sore throat, nausea","hydration, surgery",cardiologist,high (20%)
asthma,"sore throat, cough, fever",hydration,family doctor,moderate (1%)
obesity,"sore throat, headache, chest pain, nausea, blurred vision, runny nose",exercise,dermatologist,high (20%)
asthma,"fever, joint pain, runny nose, nausea, skin rash, fatigue",rest,endocrinologist,high (20%)
asthma,"blurred vision, skin rash, weight loss, headache","hydration, antibiotics",pulmonologist,low (0.5%)
migraine,"sore throat, shortness of breath, weight loss, headache",rest,family doctor,moderate (1%)
hypertension,"blurred vision, shortness of breath, headache","antibiotics, diet changes",dermatologist,low (0.5%)
obesity,"sore throat, dizziness, headache","hydration, antibiotics",pulmonologist,low (0.1%)
allergy,"joint pain, nausea, skin rash, blurred vision","antibiotics, therapy, hydration",family doctor,high (15%)
arthritis,"dizziness, shortness of breath, vomiting, headache","surgery, therapy, hydration",pulmonologist,low (0.1%)
migraine,"shortness of breath, runny nose, chest pain, weight loss, blurred vision","diet changes, rest, therapy",endocrinologist,low (0.1%)
diabetes,"shortness of breath, dizziness, weight loss, runny nose, nausea, chest pain",diet changes,pulmonologist,high (15%)
asthma,"dizziness, skin rash, weight loss, fever","surgery, medications, antibiotics",family doctor,moderate (1%)
obesity,"skin rash, fatigue, dizziness",hydration,pulmonologist,high (15%)
diabetes,"sore throat, fatigue, runny nose, dizziness","hydration, exercise, rest",cardiologist,low (0.1%)
hypertension,"shortness of breath, sore throat, headache","diet changes, medications",dermatologist,moderate (1%)
allergy,"sore throat, fever, blurred vision, nausea","hydration, medications",dermatologist,high (20%)
common cold,"shortness of breath, skin rash, runny nose, sore throat","therapy, hydration, antibiotics",family doctor,high (15%)
hypertension,"fatigue, cough, headache","surgery, antibiotics, medications",endocrinologist,low (0.5%)
hypertension,"skin rash, vomiting, dizziness, cough","medications, rest",endocrinologist,low (0.1%)
migraine,"chest pain, joint pain, runny nose, headache, fatigue","medications, antibiotics, therapy",family doctor,high (20%)
allergy,"sore throat, runny nose, skin rash","antibiotics, surgery",dermatologist,high (20%)
asthma,"fatigue, dizziness, vomiting, nausea, cough, fever","diet changes, rest",neurologist,low (0.5%)
common cold,"weight loss, sore throat, runny nose","diet changes, exercise",pulmonologist,low (0.5%)
obesity,"vomiting, dizziness, headache, nausea, runny nose, fever","diet changes, antibiotics",cardiologist,low (0.5%)
allergy,"headache, shortness of breath, sore throat","diet changes, therapy, surgery",cardiologist,high (15%)
obesity,"headache, dizziness, vomiting, skin rash, fatigue, blurred vision","hydration, surgery, rest",pulmonologist,high (20%)
common cold,"cough, shortness of breath, dizziness, weight loss","medications, therapy, antibiotics",neurologist,high (15%)
hypertension,"skin rash, nausea, runny nose, chest pain",surgery,family doctor,high (20%)
allergy,"fever, blurred vision, vomiting, nausea, chest pain, weight loss",antibiotics,neurologist,moderate (1%)
obesity,"skin rash, sore throat, blurred vision, cough, weight loss","hydration, exercise",pulmonologist,high (15%)
obesity,"fatigue, nausea, cough, dizziness","rest, hydration",neurologist,high (15%)
allergy,"chest pain, skin rash, blurred vision, fever, fatigue","antibiotics, hydration",neurologist,high (15%)
migraine,"blurred vision, shortness of breath, cough, fever, sore throat, nausea","medications, diet changes, rest",pulmonologist,low (0.1%)
asthma,"skin rash, cough, fever, blurred vision, joint pain, fatigue",therapy,family doctor,high (20%)
allergy,"cough, blurred vision, weight loss, joint pain","hydration, rest",pulmonologist,low (0.5%)
hypertension,"cough, weight loss, nausea, dizziness, fatigue","rest, medications, exercise",neurologist,moderate (1%)
migraine,"weight loss, headache, runny nose, cough, sore throat",antibiotics,pulmonologist,high (20%)
diabetes,"chest pain, vomiting, cough, joint pain, blurred vision, fever",antibiotics,endocrinologist,low (0.5%)
diabetes,"joint pain, dizziness, cough",hydration,endocrinologist,high (20%)
asthma,"headache, blurred vision, fatigue, fever, runny nose","rest, medications",dermatologist,low (0.5%)
obesity,"skin rash, chest pain, fatigue, shortness of breath","antibiotics, therapy",endocrinologist,moderate (1%)
obesity,"nausea, runny nose, fever, vomiting, skin rash","rest, hydration",neurologist,low (0.5%)
common cold,"weight loss, vomiting, headache, fever",hydration,dermatologist,low (0.1%)
obesity,"vomiting, shortness of breath, chest pain, joint pain","therapy, hydration",pulmonologist,high (20%)
arthritis,"vomiting, chest pain, cough, runny nose, joint pain, shortness of breath","surgery, therapy, exercise",cardiologist,moderate (1%)
allergy,"fever, chest pain, sore throat, blurred vision",antibiotics,family doctor,moderate (1%)
common cold,"headache, joint pain, dizziness, fever, weight loss",diet changes,cardiologist,high (20%)
obesity,"sore throat, joint pain, weight loss","therapy, antibiotics, rest",neurologist,high (20%)
allergy,"cough, vomiting, dizziness, fever, runny nose","medications, antibiotics, diet changes",family doctor,low (0.5%)
arthritis,"dizziness, headache, chest pain, weight loss, blurred vision","medications, surgery",family doctor,high (20%)
arthritis,"fatigue, shortness of breath, skin rash, joint pain, headache, runny nose",diet changes,dermatologist,high (20%)
migraine,"shortness of breath, skin rash, fatigue","medications, diet changes",neurologist,moderate (1%)
asthma,"blurred vision, nausea, fatigue, cough, fever","therapy, medications",family doctor,moderate (1%)
allergy,"cough, runny nose, weight loss","surgery, medications",dermatologist,high (20%)
allergy,"sore throat, blurred vision, fatigue, dizziness","surgery, diet changes",neurologist,moderate (1%)
diabetes,"nausea, headache, chest pain, joint pain, fever, sore throat",antibiotics,cardiologist,moderate (1%)
hypertension,"sore throat, nausea, skin rash, blurred vision, vomiting","rest, therapy, exercise",dermatologist,low (0.1%)
asthma,"headache, joint pain, fever, vomiting, dizziness","medications, rest",cardiologist,high (20%)
asthma,"headache, fever, cough, runny nose","hydration, antibiotics, surgery",family doctor,low (0.5%)
hypertension,"cough, fatigue, blurred vision","medications, antibiotics",dermatologist,low (0.1%)
hypertension,"shortness of breath, vomiting, joint pain, fatigue, nausea",rest,endocrinologist,low (0.1%)
migraine,"sore throat, chest pain, blurred vision","exercise, diet changes, hydration",cardiologist,low (0.5%)
arthritis,"nausea, dizziness, fever",medications,neurologist,low (0.1%)
common cold,"headache, blurred vision, weight loss","surgery, medications",cardiologist,low (0.5%)
hypertension,"dizziness, blurred vision, joint pain, fatigue, fever",antibiotics,dermatologist,moderate (1%)
migraine,"chest pain, cough, blurred vision",hydration,endocrinologist,high (20%)
asthma,"nausea, weight loss, shortness of breath, dizziness, skin rash","rest, surgery",dermatologist,low (0.5%)
allergy,"fever, vomiting, weight loss, cough","antibiotics, rest",family doctor,high (20%)
arthritis,"fatigue, runny nose, chest pain, dizziness, cough","exercise, diet changes, antibiotics",dermatologist,low (0.1%)
obesity,"runny nose, headache, vomiting","diet changes, exercise, antibiotics",endocrinologist,low (0.1%)
allergy,"sore throat, fever, fatigue, weight loss, shortness of breath, dizziness","diet changes, medications, rest",pulmonologist,low (0.5%)
migraine,"nausea, cough, skin rash, chest pain, joint pain, fatigue","rest, surgery, exercise",dermatologist,high (20%)
common cold,"nausea, joint pain, chest pain","surgery, therapy",endocrinologist,high (20%)
common cold,"shortness of breath, fever, dizziness",rest,pulmonologist,low (0.1%)
asthma,"runny nose, fatigue, chest pain, nausea","therapy, medications, antibiotics",family doctor,moderate (1%)
allergy,"vomiting, chest pain, sore throat","therapy, antibiotics",dermatologist,low (0.5%)
migraine,"shortness of breath, skin rash, vomiting, blurred vision","antibiotics, rest",endocrinologist,high (15%)
asthma,"vomiting, blurred vision, sore throat, cough",diet changes,cardiologist,low (0.5%)
obesity,"skin rash, headache, fatigue, dizziness, cough, sore throat",rest,endocrinologist,low (0.1%)
asthma,"fever, joint pain, cough, shortness of breath","diet changes, therapy",pulmonologist,high (20%)
common cold,"fatigue, chest pain, vomiting, weight loss, sore throat","rest, surgery, hydration",pulmonologist,moderate (1%)
hypertension,"sore throat, headache, joint pain","hydration, antibiotics, rest",pulmonologist,low (0.5%)
hypertension,"chest pain, dizziness, sore throat, shortness of breath, weight loss, blurred vision","exercise, diet changes, rest",pulmonologist,moderate (1%)
arthritis,"nausea, sore throat, runny nose, fatigue, joint pain, vomiting","antibiotics, diet changes, exercise",neurologist,high (15%)
obesity,"fatigue, sore throat, cough",antibiotics,endocrinologist,high (15%)
allergy,"runny nose, headache, vomiting, chest pain, fatigue, sore throat","surgery, therapy",family doctor,high (20%)
obesity,"vomiting, sore throat, skin rash","exercise, rest",family doctor,low (0.5%)
common cold,"chest pain, fatigue, fever, cough, runny nose, blurred vision","therapy, antibiotics, surgery",pulmonologist,high (20%)
allergy,"chest pain, fever, cough, runny nose, joint pain","surgery, antibiotics, exercise",neurologist,low (0.5%)
common cold,"fever, dizziness, weight loss",therapy,dermatologist,low (0.5%)
obesity,"vomiting, cough, weight loss, sore throat, headache","diet changes, rest, medications",cardiologist,high (20%)
common cold,"blurred vision, vomiting, shortness of breath, skin rash","surgery, diet changes",neurologist,high (15%)
migraine,"fever, blurred vision, headache, cough, sore throat",therapy,endocrinologist,high (20%)
common cold,"vomiting, blurred vision, fever, joint pain","exercise, diet changes",endocrinologist,high (20%)
migraine,"chest pain, weight loss, sore throat","antibiotics, therapy",endocrinologist,high (15%)
arthritis,"vomiting, weight loss, blurred vision, cough, fatigue",hydration,cardiologist,high (15%)
asthma,"joint pain, sore throat, headache, vomiting, chest pain","surgery, antibiotics",dermatologist,moderate (1%)
asthma,"sore throat, chest pain, joint pain, vomiting, blurred vision",hydration,pulmonologist,low (0.5%)
diabetes,"cough, blurred vision, runny nose, weight loss, nausea","exercise, rest",pulmonologist,moderate (1%)
allergy,"runny nose, shortness of breath, fatigue","surgery, hydration, diet changes",cardiologist,high (15%)
arthritis,"fatigue, cough, weight loss","antibiotics, exercise",dermatologist,low (0.1%)
asthma,"joint pain, runny nose, weight loss, blurred vision, dizziness",therapy,family doctor,high (15%)
allergy,"headache, vomiting, skin rash, chest pain, fatigue","antibiotics, surgery, hydration",cardiologist,low (0.1%)
common cold,"weight loss, runny nose, nausea","hydration, surgery, medications",family doctor,low (0.5%)
arthritis,"joint pain, weight loss, fever, headache","surgery, rest",endocrinologist,high (20%)
hypertension,"fatigue, skin rash, fever, dizziness","antibiotics, surgery, rest",dermatologist,moderate (1%)
diabetes,"chest pain, runny nose, skin rash, blurred vision","exercise, antibiotics",dermatologist,high (20%)
obesity,"sore throat, vomiting, cough","exercise, surgery",family doctor,high (20%)
diabetes,"dizziness, chest pain, fatigue, blurred vision",diet changes,endocrinologist,high (20%)
hypertension,"blurred vision, weight loss, fever, sore throat, joint pain, runny nose",diet changes,cardiologist,high (20%)
arthritis,"headache, joint pain, fatigue","therapy, rest",pulmonologist,moderate (1%)
allergy,"dizziness, vomiting, skin rash, chest pain, fever","medications, exercise",cardiologist,moderate (1%)
migraine,"chest pain, shortness of breath, blurred vision","surgery, therapy",neurologist,high (20%)
obesity,"joint pain, headache, chest pain","medications, surgery, exercise",endocrinologist,low (0.5%)
common cold,"cough, shortness of breath, chest pain, joint pain, nausea","hydration, antibiotics, surgery",cardiologist,high (20%)
asthma,"fatigue, weight loss, blurred vision, runny nose",hydration,neurologist,low (0.1%)
common cold,"weight loss, fever, blurred vision, shortness of breath","hydration, therapy, rest",neurologist,low (0.1%)
common cold,"skin rash, headache, sore throat, vomiting",therapy,endocrinologist,low (0.5%)
migraine,"sore throat, shortness of breath, runny nose, fever, headache, dizziness","medications, exercise, antibiotics",family doctor,low (0.1%)
hypertension,"sore throat, skin rash, dizziness, fever",surgery,neurologist,low (0.5%)
hypertension,"headache, fatigue, dizziness, chest pain, vomiting, nausea","surgery, hydration",pulmonologist,high (20%)
